Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2031.028,1011,319,302,306,1000,16408,-1132,61,-34,-28
2042.294,844,319,302,305,992,16364,-1072,39,-20,-30
2042.294,365,319,302,305,932,16348,-1096,28,-18,-50
2054.086,555,319,302,305,972,16376,-1092,-1,-61,-33
2054.086,667,318,302,305,968,16432,-1152,-15,-35,-36
2065.2180000000003,542,319,302,305,952,16376,-1112,-29,-18,-12
2065.2180000000003,228,319,302,305,976,16364,-1060,-54,-14,-29
2075.654,378,319,302,305,944,16416,-1108,-33,-29,-34
2075.654,517,319,302,305,952,16400,-1092,-22,-27,-29
2086.3779999999997,662,318,302,305,976,16380,-1044,-17,-15,-16
2086.696,778,318,302,305,920,16388,-1072,21,-41,-21
2097.757,924,318,302,305,992,16396,-1104,34,-20,-16
2097.757,1010,318,302,305,968,16384,-1136,35,-38,-37
2097.757,1010,318,302,305,972,16436,-1176,3,-16,-32
2108.837,872,319,302,306,988,16464,-1128,16,-27,-43
2108.837,1007,318,302,305,936,16460,-1120,29,-35,-28
2119.941,1010,318,302,305,988,16488,-1172,25,-2,-31
2119.941,1010,318,302,305,1008,16504,-1148,-19,-3,-25
2131.105,1010,318,302,305,996,16448,-1144,-33,-18,-48
2131.105,1010,318,302,306,972,16420,-1092,-29,-14,-29
2142.219,1011,318,302,305,960,16380,-1104,-42,-19,-32
2142.219,1010,318,302,305,932,16312,-1124,-30,-15,-30
2142.219,1009,319,302,305,992,16332,-1100,-34,-34,-33
2153.228,1010,317,302,305,928,16296,-1160,-74,-9,-5
2153.228,1010,316,302,305,932,16328,-1140,-76,5,-44
2164.379,1010,315,302,305,948,16372,-1100,-78,-17,-31
2164.379,1010,314,302,305,992,16428,-1152,-99,-16,-37
2175.469,1010,313,302,305,952,16472,-1124,-117,4,-35
2175.469,1011,312,302,305,1028,16588,-1176,-236,19,-63
2186.622,1011,311,302,305,972,16564,-1160,-201,15,-70
2186.622,1011,311,302,305,972,16584,-1032,-173,-14,-40
2193.6270000000004,1010,311,302,305,992,16508,-1140,-413,34,-34
2197.758,1010,311,302,305,936,16484,-1216,-479,21,-47
2208.799,876,310,301,305,996,16380,-1188,-738,49,-76
2208.799,538,310,302,305,944,16276,-1184,-920,41,-74
2208.799,603,309,302,305,900,16276,-844,-735,11,-52
2219.8920000000003,643,309,302,305,1064,16428,-1700,-616,-282,-158
2219.8920000000003,348,309,302,305,2172,15596,-5464,4457,-1544,93
2231.0690000000004,30,312,302,305,-2552,15976,-6892,6145,-3380,415
2231.0690000000004,92,313,302,305,1956,15152,-2712,7717,-1858,238
2241.894,133,315,302,305,2236,16628,6036,-509,207,-58
2242.157,0,317,302,305,1108,16448,-812,316,-264,-15
2253.2549999999997,0,319,302,305,960,16456,-1528,595,-187,-20
2253.2549999999997,45,320,301,305,1032,16472,-1028,5,-150,-18
2253.2549999999997,76,321,302,306,972,16476,-1388,-150,-262,-28
2264.5,0,323,302,305,1072,16356,-1732,70,-258,-31
2264.5,18,324,301,305,904,16464,-1424,291,-336,-88
2275.7999999999997,61,326,302,305,1040,16396,-1324,129,-518,-50
2275.7999999999997,100,327,302,305,1052,16180,-1596,273,-676,48
2286.634,103,328,301,305,792,16396,-1104,303,-607,34
2286.634,35,329,302,305,764,16528,-644,114,-427,-32
2297.695,78,330,302,305,1252,16384,-1692,78,-422,-55
2297.695,119,330,302,305,920,16444,-700,179,-152,-13
2297.695,171,331,301,305,1048,16372,-956,66,-102,-8
2308.792,44,332,302,306,976,16340,-1096,64,78,-11
2308.792,86,332,302,305,988,16344,-1284,74,58,16
2320.029,124,332,302,305,940,16364,-1256,70,78,-4
2320.029,173,332,302,305,1004,16356,-1360,142,88,-26
2331.075,57,334,302,305,936,16324,-1156,305,139,27
2331.075,101,335,302,305,956,16284,-1368,244,101,-7
2342.123,146,335,302,306,916,16396,-1324,198,136,-9
2342.123,199,336,302,306,944,16372,-1404,96,87,1
2342.123,165,336,302,305,1016,16452,-1380,44,64,4
2354.445,193,336,302,305,976,16484,-1392,-77,30,-18
2364.379,211,336,302,305,1032,16544,-1308,-130,23,-39
2364.379,111,335,302,305,1008,16524,-1356,-147,22,-34
2364.379,16,336,302,305,964,16512,-1344,-164,21,-38
2375.483,20,336,302,305,992,16556,-1340,-183,27,-43
2375.483,19,336,302,305,1004,16488,-1332,-141,39,-40
2386.622,0,336,302,305,952,16416,-1308,-77,23,-40
2386.622,0,336,302,305,948,16320,-1312,-14,59,-24
2397.493,0,336,301,306,920,16224,-1248,59,70,-20
2397.747,0,336,302,305,1056,16172,-1176,180,192,-18
2409.3849999999998,0,336,302,305,1176,16180,-1144,121,361,-41
2413.6259999999997,0,336,302,306,536,16244,-1444,238,328,-16
2414.1279999999997,0,336,302,305,932,16296,-1212,222,381,-10
2419.9,0,336,302,305,928,16384,-1452,215,416,-3
2419.9,0,336,302,306,916,16488,-1468,151,285,6
2431.047,0,336,302,305,984,16520,-1464,125,238,-2
2431.047,0,336,302,306,944,16592,-1504,47,145,15
2442.2090000000003,0,336,302,305,968,16568,-1500,-7,80,-7
2442.2090000000003,0,336,302,305,1020,16564,-1460,-81,44,-19
2442.2090000000003,0,337,301,305,948,16520,-1448,-149,18,-18
2453.2470000000003,0,337,301,305,964,16416,-1420,-200,-19,-25
2453.2470000000003,0,337,302,305,932,16304,-1408,-185,-5,-34
2464.365,0,337,302,305,924,16224,-1360,-179,1,-24
2464.365,0,337,302,305,944,16276,-1364,-121,23,-1
2475.589,0,337,302,305,924,16236,-1412,-90,17,-17
2475.589,0,337,302,305,952,16220,-1300,-92,32,0
2486.593,0,337,302,306,988,16280,-1336,-41,27,4
2486.593,0,337,302,306,1012,16316,-1348,8,47,18
2493.598,0,337,302,306,992,16348,-1356,37,49,11
2497.701,0,337,302,306,980,16444,-1356,93,36,-12
2497.701,0,338,301,306,960,16456,-1320,99,75,7
2508.8140000000003,0,338,301,306,960,16412,-1352,25,115,10
2508.8140000000003,0,338,302,305,1060,16472,-1204,-75,302,-35
2520.1730000000002,0,338,301,306,940,16460,-1580,-124,212,-47
2520.1730000000002,0,339,302,306,1044,16520,-1472,-192,83,-40
2531.654,0,340,301,305,936,16452,-1480,-202,2,-34
2531.654,0,340,302,306,672,16372,-1376,-219,0,42
2542.22,0,341,302,305,948,16436,-1360,-227,-27,-51
2542.22,0,341,302,306,964,16372,-1324,-171,-9,-39
2553.049,0,341,302,306,956,16360,-1312,-150,-1,-29
2553.3559999999998,0,340,301,306,976,16324,-1280,-130,-15,-12
2553.3559999999998,0,341,302,305,968,16304,-1296,-85,16,-9
2564.399,0,341,302,305,980,16340,-1296,-41,22,2
2564.399,0,341,301,305,872,16308,-1224,46,74,-9
2575.45,0,341,302,306,788,16392,-1220,-17,160,-26
2575.45,0,340,301,305,1004,16364,-1440,19,176,-26
2586.623,0,340,301,305,884,16368,-1700,-59,74,-11
2593.6279999999997,0,340,302,305,856,16364,-1496,-42,141,-31
2597.713,0,340,302,305,1076,16372,-856,-14,143,-27
2597.713,0,340,301,305,1168,16380,-880,-70,558,-70
2597.713,0,340,302,305,1348,16472,-1376,57,436,-32
2608.8089999999997,0,340,302,305,1028,16484,-1244,3,345,-31
2608.8089999999997,0,340,302,305,1164,16504,-1444,-20,299,-46
2619.9249999999997,0,340,302,305,1012,16440,-1428,-29,138,-17
2619.9249999999997,0,340,302,305,960,16356,-1368,-49,65,-13
2631.1429999999996,0,340,302,305,936,16380,-1336,-51,62,-16
2631.1429999999996,0,340,302,305,1028,16312,-1372,-77,45,-30
2642.1679999999997,0,339,301,305,952,16304,-1352,-64,36,-21
2642.1679999999997,0,340,302,305,956,16296,-1292,-7,64,-3
2642.1679999999997,0,340,302,305,968,16296,-1308,-25,67,-3
2653.234,0,340,302,305,972,16336,-1300,3,100,19
2653.234,0,340,302,305,964,16404,-1340,39,146,8
2664.401,0,340,302,305,968,16456,-1392,27,154,-17
2664.401,0,340,301,305,956,16408,-1424,17,126,-22
2675.478,0,340,302,305,1028,16476,-1364,-40,156,-27
2675.478,0,339,302,305,1020,16400,-1396,-119,126,-49
2686.556,0,340,302,305,1012,16464,-1424,-160,98,-26
2686.556,0,339,301,305,836,16440,-1540,-224,-8,-22
2693.5609999999997,0,339,302,305,908,16468,-1400,-220,-11,-28
2697.746,0,339,302,305,960,16400,-1432,-217,-10,-42
2708.838,0,339,301,305,992,16388,-1440,-264,-60,-29
2708.838,2,339,302,305,936,16340,-1316,-237,-32,-16
2708.838,0,339,302,305,992,16276,-1400,-202,-68,-30
2719.8920000000003,2,339,302,305,988,16284,-1568,-223,-208,-27
2719.8920000000003,0,339,302,305,1008,16336,-1440,-181,-133,-36
2731.03,12,339,302,306,972,16360,-1332,-213,-238,-26
2731.03,21,339,302,305,600,16528,-1452,76,30,5
2742.0209999999997,32,339,302,305,828,16432,-1208,32,328,-2
2742.246,0,339,301,305,552,16524,-1144,-24,786,-74
2753.2999999999997,19,340,302,305,216,16552,-1332,-134,1136,-68
2753.2999999999997,36,340,302,305,2284,16748,-3520,-562,974,-381
2753.2999999999997,63,340,302,305,1380,16320,-508,-566,236,-877
2764.362,4,340,302,305,1032,16016,-1740,-237,77,-85
2764.362,46,341,302,305,1280,17296,-1544,249,205,746
2775.453,88,340,302,306,504,22972,-544,1000,241,1201
2775.453,137,340,302,306,1496,20704,252,-940,-708,-2172
2787.315,200,340,302,306,1496,19800,-1160,-1489,17,-3195
2793.8179999999998,257,340,302,305,880,15128,-1320,-1519,-270,-2613
2797.9280000000003,307,340,302,305,1144,10368,-1424,-69,-111,551
2797.9280000000003,368,339,302,305,1548,16208,-1480,-175,-578,-647
2810.5829999999996,442,338,302,306,2016,20820,-3508,-501,-674,-282
2811.076,507,338,302,306,-4732,-636,4924,4423,2634,6563
2811.076,567,337,302,306,-3380,-6464,5336,5256,5829,7082
2823.2439999999997,640,336,302,306,2876,21584,-2548,-757,-442,-874
2827.334,726,336,301,306,1236,16640,-1956,789,-143,252
2835.4919999999997,791,336,302,305,36,16632,-728,89,64,-159
2839.6059999999998,834,336,302,306,2364,16384,-2088,325,-8,325
2841.929,883,335,302,306,616,16572,-900,-43,337,-102
2841.929,946,335,302,306,1556,16500,-1892,-56,121,-49
2841.929,1004,335,302,306,620,16500,-1364,-30,110,9
2857.554,1010,334,302,305,1132,16448,-1424,41,152,-39
2857.554,1010,334,302,305,948,16432,-1356,-34,25,-97
2857.554,1010,334,302,305,1108,16536,-1656,-35,18,-161
2857.554,1010,334,302,305,680,16744,-1344,346,-15,64
2873.1800000000003,1010,333,302,305,1348,16152,-1412,106,30,-74
2873.1800000000003,985,333,302,305,1388,16180,-1564,210,176,9
2888.806,614,333,302,305,840,16184,-1576,286,-67,-25
2888.806,502,333,302,305,1052,16188,-1268,272,-133,44
2893.809,490,333,302,305,628,16348,-1476,748,-453,83
2893.809,470,332,302,306,1156,16396,-1524,756,-753,54
2909.437,441,331,301,305,440,16324,-1364,1509,-1342,117
2909.437,396,331,301,305,812,16480,-1292,2078,-2541,181
2909.437,354,331,302,305,1332,16576,-1336,1046,-2703,143
2925.636,327,331,302,305,1148,16384,-3228,1796,-2753,65
2929.558,315,331,301,306,44,16232,-1600,1828,-2819,-63
2930.0609999999997,293,331,302,305,552,16412,-2940,2034,-2662,98
2930.0609999999997,268,332,302,305,588,15644,-5224,1315,-4053,426
2945.688,249,332,302,305,-480,15860,-2896,2368,-6970,361
2945.688,243,332,302,305,84,16664,-572,2961,-5812,353
2945.688,225,333,302,305,396,16988,-876,3005,-4648,89
2945.688,200,333,302,305,1188,16780,720,2997,-3904,214
2961.314,180,333,302,305,1828,15960,-2408,370,-3715,419
2961.314,167,333,302,305,1796,16472,-1576,2184,-3974,468
2961.314,136,334,302,305,1716,16864,272,1969,-2992,-34
2976.94,91,334,302,305,1592,16460,-884,571,-2890,19
2976.94,54,334,302,305,892,16400,-1500,1527,-2284,115
2976.94,37,335,302,305,1096,16356,-1336,1153,-1702,51
2994.069,14,335,302,305,1240,16568,-2168,389,-2234,201
2994.069,0,335,302,305,724,16220,-676,1302,-1392,139
2994.069,0,335,302,305,1396,16616,-492,-218,-782,6
2994.069,0,335,302,306,960,16372,-1188,497,-2,10
3009.6949999999997,0,335,302,305,940,16320,-1976,17,-59,-11
3009.6949999999997,0,335,302,305,920,16320,-2192,-14,-258,-4
