Time (ms),EMG Value
0.9890000000000001,37
0.9890000000000001,37
2.083,37
3.1470000000000002,39
3.1470000000000002,40
4.1000000000000005,39
5.096,39
5.096,39
6.325,38
7.347,38
8.39,38
8.39,37
9.344,37
10.353,37
10.353,39
11.394,40
12.342,39
12.342,39
13.41,39
14.342,38
14.342,38
15.401,38
16.342,37
1465.2350000000001,44
1466.202,43
1466.202,43
1469.208,43
1469.208,43
1470.193,45
1471.234,43
1471.234,43
1473.194,43
1474.189,43
1475.192,43
1475.192,43
1477.729,42
1477.729,42
1479.131,43
1479.6450000000002,43
1481.704,43
1481.704,42
1482.666,42
1483.672,44
1484.666,43
1485.2259999999999,41
1486.251,41
1487.239,42
1488.494,44
1489.5069999999998,45
1491.02,43
1492.144,45
1492.144,44
1493.17,46
1494.169,45
1495.2060000000001,43
1495.2060000000001,44
1497.1589999999999,44
1498.1660000000002,43
1499.166,43
1500.168,43
1500.168,44
1502.155,44
1502.155,44
1502.155,43
1503.425,43
1506.4379999999999,44
1506.4379999999999,44
1507.445,46
1509.438,47
1510.436,43
1510.436,44
1511.437,45
1511.437,46
1512.4370000000001,45
1514.441,44
1514.441,44
1515.436,44
1515.436,44
1518.4379999999999,45
1518.4379999999999,41
1519.439,44
1519.439,44
1522.227,44
1523.219,45
1523.219,43
1523.219,42
1524.218,44
1526.884,45
1526.884,45
1527.926,43
1528.9250000000002,44
1530.888,44
1530.888,44
1531.9199999999998,45
1532.92,43
1534.889,44
1534.889,44
1535.8799999999999,46
1536.88,45
1538.878,43
1539.882,44
1539.882,44
1541.5430000000001,44
1541.5430000000001,45
1543.0729999999999,43
1543.558,43
1544.637,44
1545.1509999999998,44
1547.393,45
1548.447,43
1548.447,44
1549.463,44
1551.461,46
1551.461,47
1552.515,43
1553.463,44
1553.463,44
1556.465,44
1556.465,46
1557.4920000000002,43
1558.714,43
1559.2269999999999,44
1560.297,44
1560.8120000000001,44
1560.8120000000001,41
1563.7060000000001,44
1564.286,42
1565.307,42
1565.598,43
1566.6850000000002,41
1567.782,44
1568.621,44
1569.68,44
1569.68,45
1571.656,41
1572.624,42
1572.624,42
1573.624,42
1575.847,43
1575.847,41
1576.856,41
1577.8970000000002,42
1579.84,42
1579.84,43
1580.898,41
1581.8419999999999,41
1582.46,41
1584.2359999999999,42
1584.769,41
1585.8000000000002,40
1586.8,41
1588.212,42
1589.2269999999999,42
1590.225,41
1590.225,41
1591.54,40
1592.5510000000002,42
1593.596,42
1593.596,43
1594.5800000000002,41
1596.587,41
1597.61,42
1597.61,42
1598.594,41
1600.554,40
1600.554,40
1601.601,40
1602.815,42
1603.885,41
1604.828,40
1604.828,41
1606.272,42
1607.2900000000002,43
1608.291,43
1609.2930000000001,41
1610.288,42
1610.596,42
1612.8290000000002,43
1613.863,41
1614.86,41
1615.911,41
1616.855,42
1616.855,43
1617.956,41
1618.984,40
1620.002,42
1621.001,42
1622.042,41
1623.003,40
1624.006,41
1625.001,42
1625.998,41
1627.062,41
1627.062,40
1628.7069999999999,40
1629.724,42
1629.724,43
1631.3120000000001,41
1632.382,40
1633.462,40
1634.536,42
1634.536,41
1635.489,40
1637.395,39
1638.399,40
1639.414,40
1639.414,40
1641.459,41
1641.459,41
1642.478,40
1642.987,39
1645.222,40
1646.006,39
1647.005,40
1647.005,42
1648.554,41
1649.857,41
1650.922,40
1650.922,41
1651.876,42
1653.9550000000002,43
1654.951,41
1654.951,40
1656.059,40
1657.0910000000001,42
1658.0729999999999,39
1659.134,41
1659.134,41
1661.9660000000001,39
1662.56,39
1663.581,40
1663.581,40
1664.8909999999998,39
1665.403,40
1666.431,39
1667.483,38
1667.483,38
1670.433,40
1670.433,40
1671.486,40
1672.426,40
1673.447,40
1674.435,41
1675.4340000000002,41
1675.4340000000002,41
1677.6599999999999,41
1678.431,41
1679.4309999999998,40
1680.4840000000002,40
1680.4840000000002,39
1682.572,40
1683.339,39
1684.364,39
1684.364,42
1686.6570000000002,41
1687.171,40
1688.424,40
1688.424,40
1689.7649999999999,40
1690.834,41
1691.778,40
1692.798,40
1692.798,40
1694.869,40
1695.444,41
1696.519,40
1697.461,39
1698.456,39
1699.457,40
1699.8439999999998,39
1700.693,39
1703.035,39
1703.035,39
1704.396,39
1704.396,39
1706.848,40
1706.848,40
1707.843,41
1708.847,41
1708.847,41
1710.936,40
1710.936,40
1711.95,41
1713.04,40
1714.9319999999998,38
1714.9319999999998,40
1716.371,39
1716.371,40
1719.26,39
1719.891,38
1720.97,39
1721.9850000000001,40
1722.9859999999999,40
1724.304,41
1727.381,40
1728.397,39
1729.395,39
1731.3970000000002,40
1733.429,40
1733.429,39
1734.437,40
1734.437,40
1735.673,41
1735.673,40
1735.673,40
1736.683,42
1736.683,39
1737.714,40
1737.714,42
1738.9289999999999,39
1739.978,40
1739.978,39
1739.978,40
1741.241,39
1743.173,39
1744.18,38
1744.18,38
1744.18,39
1747.0339999999999,40
1748.0430000000001,40
1748.0430000000001,39
1749.043,40
1749.043,42
1751.603,41
1752.593,41
1752.593,40
1752.593,40
1755.595,42
1756.594,41
1757.594,40
1758.606,39
1760.316,39
1760.691,40
1760.691,39
1762.3120000000001,40
1763.728,39
1764.532,39
1765.525,39
1765.525,39
1766.521,40
1768.549,40
1768.549,41
1769.4859999999999,43
1769.4859999999999,43
1772.337,42
1773.3509999999999,42
1773.3509999999999,41
1774.6889999999999,41
1776.0929999999998,40
1776.632,39
1777.167,42
1777.706,42
1777.706,41
1780.612,40
1781.192,40
1781.35,40
1781.9560000000001,41
1784.739,40
1784.739,40
1785.7620000000002,41
1786.805,42
1788.706,43
1789.7289999999998,41
1790.722,41
1791.799,42
1792.873,42
1792.873,43
1793.8110000000001,41
1794.8120000000001,41
1794.8120000000001,42
1797.036,42
1797.818,43
1798.8120000000001,40
1798.8120000000001,41
1801.353,42
1801.92,41
1803.064,41
1803.064,40
1805.146,39
1806.4150000000002,40
1807.434,42
1808.548,43
1808.868,41
1809.992,41
1809.992,40
1811.494,42
1811.494,43
1813.491,41
1814.509,41
1814.509,41
1815.566,42
1817.561,43
1818.636,40
1818.636,40
1819.579,42
1820.635,42
1821.92,41
1821.92,40
1822.946,40
1822.946,42
1825.7,42
1826.27,43
1827.291,40
1827.291,41
1829.768,42
1830.2849999999999,41
1831.297,41
1831.297,40
1833.5410000000002,40
1834.564,42
1835.556,41
1836.5620000000001,40
1837.559,39
1838.5620000000001,39
1840.946,39
1842.047,39
1843.064,41
1844.08,39
1844.08,39
1845.071,40
1846.066,37
1847.065,37
1848.06,38
1848.06,40
1849.0610000000001,41
1850.063,41
1851.062,41
