Time (ms)          ,EMG ,AccX ,AccY ,AccZ  ,GyroX ,GyroY ,GyroZ
1673.036           ,930 ,-288 ,3996 ,15656 ,-41   ,-29   ,7
1675.5800000000002 ,931 ,-288 ,3996 ,15656 ,-41   ,-29   ,7
1679.692           ,931 ,-288 ,3996 ,15656 ,-41   ,-29   ,7
1682.603           ,931 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1684.599           ,930 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1687.564           ,930 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1689.413           ,931 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1691.531           ,931 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1695.941           ,931 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1696.957           ,931 ,-328 ,4072 ,15600 ,-14   ,-43   ,1
1699.898           ,930 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1704.3619999999999 ,931 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1706.3790000000001 ,931 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1707.861           ,931 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1712.1             ,931 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1712.1             ,931 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1716.825           ,931 ,-256 ,4044 ,15552 ,-51   ,-53   ,-8
1720.831           ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1721.827           ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1724.828           ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1728.413           ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1729.872           ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1733.885           ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1736.7749999999999 ,931 ,-308 ,4040 ,15584 ,-62   ,-51   ,-19
1737.8             ,931 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1741.3220000000001 ,930 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1741.3220000000001 ,931 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1741.3220000000001 ,931 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1749.881           ,930 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1753.866           ,931 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1755.3970000000002 ,931 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1758.383           ,931 ,-300 ,4080 ,15688 ,-14   ,-55   ,-6
1760.526           ,931 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1760.526           ,931 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1766.9060000000002 ,930 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1769.2540000000001 ,930 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1773.951           ,931 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1774.953           ,931 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1776.844           ,931 ,-292 ,4016 ,15580 ,-24   ,-51   ,-10
1781.642           ,931 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1783.6570000000002 ,930 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1786.951           ,931 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1790.472           ,931 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1791.768           ,931 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1794.775           ,931 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1797.821           ,931 ,-288 ,4028 ,15616 ,-53   ,-39   ,-9
1800.089           ,930 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1802.835           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1805.972           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1808.174           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1810.767           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1814.766           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1815.936           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1818.933           ,931 ,-264 ,4084 ,15608 ,-3    ,-44   ,-5
1822.886           ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1823.887           ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1826.454           ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1826.454           ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1832.557           ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1835.5520000000001 ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1839.63            ,931 ,-296 ,4016 ,15596 ,-46   ,-64   ,-23
1841.473           ,931 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1842.4640000000002 ,930 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1842.4640000000002 ,931 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1849.084           ,931 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1852.073           ,930 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1855.8509999999999 ,931 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1858.177           ,931 ,-328 ,4036 ,15600 ,-41   ,-48   ,-5
1859.1599999999999 ,931 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1859.1599999999999 ,931 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1865.914           ,931 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1868.903           ,930 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1872.77            ,931 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1873.692           ,930 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1874.713           ,931 ,-296 ,4024 ,15688 ,-26   ,-48   ,-1
1880.233           ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1882.2479999999998 ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1885.345           ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1888.242           ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1892.51            ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1893.57            ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1893.57            ,931 ,-312 ,4012 ,15576 ,-36   ,-54   ,-13
1900.18            ,931 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1901.565           ,931 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1905.1180000000002 ,930 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1908.843           ,930 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1909.877           ,931 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1913.689           ,931 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1917.598           ,931 ,-272 ,4040 ,15620 ,-39   ,-56   ,-35
1919.606           ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1921.607           ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1924.809           ,930 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1926.014           ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1929.3629999999998 ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1933.95            ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1935.9569999999999 ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1938.162           ,931 ,-300 ,3988 ,15628 ,-42   ,-40   ,-9
1941.271           ,931 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1941.271           ,931 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1946.1779999999999 ,931 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1950.179           ,930 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1954.1779999999999 ,931 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1955.079           ,931 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1958.222           ,931 ,-320 ,4020 ,15640 ,-33   ,-58   ,-18
1962.1519999999998 ,931 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1964.18            ,931 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1967.1689999999999 ,931 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1970.878           ,931 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1973.24            ,931 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1975.314           ,930 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1978.847           ,931 ,-296 ,4044 ,15584 ,-27   ,-50   ,-11
1979.847           ,931 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
1983.922           ,931 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
1987.392           ,931 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
1990.8239999999998 ,930 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
1992.064           ,931 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
1994.694           ,931 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
1999.107           ,931 ,-292 ,4048 ,15588 ,-38   ,-55   ,-17
2001.106           ,931 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2003.813           ,931 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2006.98            ,930 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2008.9130000000002 ,931 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2011.317           ,930 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2015.386           ,931 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2017.3329999999999 ,931 ,-308 ,4020 ,15616 ,-32   ,-40   ,-25
2021.1420000000003 ,931 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2023.2039999999997 ,930 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2027.641           ,931 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2027.641           ,931 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2032.542           ,931 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2035.3439999999998 ,931 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2037.373           ,931 ,-324 ,4016 ,15612 ,-19   ,-51   ,-20
2040.425           ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2042.1589999999999 ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2042.1589999999999 ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2048.333           ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2052.3509999999997 ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2054.351           ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2056.533           ,931 ,-304 ,4080 ,15724 ,-34   ,-42   ,-20
2058.85            ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2058.85            ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2064.9519999999998 ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2068.968           ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2069.984           ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2072.9700000000003 ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2076.994           ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2078.387           ,931 ,-352 ,4072 ,15604 ,-10   ,-58   ,1
2081.509           ,930 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2085.508           ,930 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2086.547           ,930 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2090.0919999999996 ,931 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2093.5739999999996 ,931 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2097.466           ,931 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2099.461           ,931 ,-376 ,4028 ,15608 ,-24   ,-54   ,-10
2102.465           ,930 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2105.455           ,930 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2107.312           ,930 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2110.181           ,931 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2113.479           ,931 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2115.716           ,931 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2117.714           ,931 ,-252 ,4044 ,15624 ,-60   ,-67   ,-24
2121.481           ,931 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2122.7599999999998 ,931 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2125.988           ,931 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2130.0629999999996 ,930 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2131.076           ,931 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2134.0690000000004 ,931 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2138.43            ,931 ,-308 ,4068 ,15600 ,-14   ,-52   ,-8
2138.43            ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2142.43            ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2142.43            ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2142.43            ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2151.328           ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2153.2019999999998 ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2153.2019999999998 ,931 ,-296 ,4008 ,15624 ,-62   ,-51   ,-24
2153.2019999999998 ,931 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2162.705           ,931 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2166.716           ,931 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2167.712           ,930 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2170.952           ,930 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2174.71            ,931 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2174.71            ,930 ,-328 ,4048 ,15592 ,-47   ,-40   ,-6
2174.71            ,930 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2183.089           ,930 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2184.084           ,931 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2185.0879999999997 ,931 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2191.321           ,931 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2192.122           ,931 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2195.3179999999998 ,931 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2199.944           ,931 ,-296 ,3952 ,15616 ,-31   ,-53   ,-10
2200.9449999999997 ,931 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2203.296           ,931 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2207.131           ,931 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2212.05            ,931 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2212.05            ,931 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2216.554           ,931 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2219.594           ,930 ,-360 ,4012 ,15580 ,-28   ,-55   ,-11
2220.476           ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2223.56            ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2228.3650000000002 ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2228.681           ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2232.249           ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2236.6290000000004 ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2236.6290000000004 ,931 ,-276 ,4012 ,15600 ,-37   ,-37   ,0
2240.658           ,931 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2244.308           ,931 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2245.308           ,930 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2248.987           ,931 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2252.85            ,931 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2252.85            ,931 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2256.994           ,931 ,-264 ,4084 ,15608 ,-45   ,-59   ,-16
2260.994           ,930 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2260.994           ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2265.631           ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2269.0769999999998 ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2269.0769999999998 ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2272.986           ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2277.431           ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2277.6730000000002 ,931 ,-296 ,4080 ,15692 ,-6    ,-27   ,10
2281.4489999999996 ,930 ,-284 ,4016 ,15524 ,-21   ,-36   ,-10
2285.355           ,930 ,-284 ,4016 ,15524 ,-21   ,-36   ,-10
2286.4399999999996 ,931 ,-284 ,4016 ,15524 ,-21   ,-36   ,-10
