Time (ms),EMG,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1550.8059999999998,0,0,0,0,0,0,0
1552.8169999999998,311,0,0,0,0,0,0
1552.8169999999998,311,0,0,0,0,0,0
1556.493,311,0,0,0,0,0,0
1556.493,311,0,0,0,0,0,0
1559.108,311,0,0,0,0,0,0
1559.108,311,0,0,0,0,0,0
1559.108,312,0,0,0,0,0,0
1559.108,311,0,0,0,0,0,0
1559.108,311,0,0,0,0,0,0
1559.108,312,0,0,0,0,0,0
1568.538,312,0,0,0,0,0,0
1568.538,312,0,0,0,0,0,0
1568.538,312,0,0,0,0,0,0
1572.929,312,0,0,0,0,0,0
1572.929,311,0,0,0,0,0,0
1575.191,312,0,0,0,0,0,0
1577.304,312,0,0,0,0,0,0
1578.639,312,-196,16356,-2252,55,-45,-27
1582.086,311,-196,16356,-2252,55,-45,-27
1583.607,312,-196,16356,-2252,55,-45,-27
1587.905,313,-196,16356,-2252,55,-45,-27
1587.905,313,-196,16356,-2252,55,-45,-27
1591.655,313,-196,16356,-2252,55,-45,-27
1597.275,313,-196,16356,-2252,55,-45,-27
1599.2869999999998,312,-156,16360,-2280,-80,-43,-12
1600.441,312,-156,16360,-2280,-80,-43,-12
1600.441,313,-156,16360,-2280,-80,-43,-12
1607.317,313,-156,16360,-2280,-80,-43,-12
1607.317,313,-156,16360,-2280,-80,-43,-12
1607.317,313,-156,16360,-2280,-80,-43,-12
1615.383,313,-156,16360,-2280,-80,-43,-12
1615.383,313,-208,16312,-2216,-58,-39,-10
1615.383,313,-208,16312,-2216,-58,-39,-10
1625.494,313,-208,16312,-2216,-58,-39,-10
1625.494,314,-208,16312,-2216,-58,-39,-10
1630.865,314,-208,16312,-2216,-58,-39,-10
1631.882,314,-208,16312,-2216,-58,-39,-10
1631.882,315,-208,16312,-2216,-58,-39,-10
1640.0,315,-244,16356,-2248,34,-14,-14
1643.959,315,-244,16356,-2248,34,-14,-14
1645.391,315,-244,16356,-2248,34,-14,-14
1648.172,316,-244,16356,-2248,34,-14,-14
1648.172,315,-244,16356,-2248,34,-14,-14
1653.68,316,-244,16356,-2248,34,-14,-14
1656.49,316,-244,16356,-2248,34,-14,-14
1659.882,317,-200,16352,-2264,-88,-47,-12
1659.882,317,-200,16352,-2264,-88,-47,-12
1664.6799999999998,317,-200,16352,-2264,-88,-47,-12
1664.6799999999998,318,-200,16352,-2264,-88,-47,-12
1664.6799999999998,319,-200,16352,-2264,-88,-47,-12
1674.455,319,-200,16352,-2264,-88,-47,-12
1674.455,319,-200,16352,-2264,-88,-47,-12
1674.455,319,-204,16332,-2244,-33,-35,-27
1681.115,321,-204,16332,-2244,-33,-35,-27
1681.115,321,-204,16332,-2244,-33,-35,-27
1689.943,322,-204,16332,-2244,-33,-35,-27
1693.103,322,-204,16332,-2244,-33,-35,-27
1693.103,321,-204,16332,-2244,-33,-35,-27
1697.804,322,-204,16332,-2244,-33,-35,-27
1697.804,322,-260,16368,-2244,10,-12,-15
1697.804,323,-260,16368,-2244,10,-12,-15
1706.1219999999998,324,-260,16368,-2244,10,-12,-15
1707.682,323,-260,16368,-2244,10,-12,-15
1707.682,323,-260,16368,-2244,10,-12,-15
1714.439,323,-260,16368,-2244,10,-12,-15
1714.439,324,-260,16368,-2244,10,-12,-15
1719.204,324,-216,16356,-2324,-71,-32,-6
1723.7450000000001,324,-216,16356,-2324,-71,-32,-6
1726.323,325,-216,16356,-2324,-71,-32,-6
1728.2649999999999,326,-216,16356,-2324,-71,-32,-6
1730.9209999999998,325,-216,16356,-2324,-71,-32,-6
1730.9209999999998,325,-216,16356,-2324,-71,-32,-6
1730.9209999999998,325,-216,16356,-2324,-71,-32,-6
1739.911,324,-220,16292,-2232,-55,-37,6
1739.911,325,-220,16292,-2232,-55,-37,6
1739.911,325,-220,16292,-2232,-55,-37,6
1749.432,325,-220,16292,-2232,-55,-37,6
1750.146,325,-220,16292,-2232,-55,-37,6
1752.155,325,-220,16292,-2232,-55,-37,6
1776.014,324,-220,16292,-2232,-55,-37,6
1782.0339999999999,325,-216,16320,-2240,22,-47,-16
1783.19,324,-216,16320,-2240,22,-47,-16
1783.19,324,-216,16320,-2240,22,-47,-16
