Time (ms),EMG,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1868.52,305,-152,16300,-2292,-90,-39,-3
1876.6529999999998,305,-208,16312,-2260,-74,-38,-6
1876.6529999999998,306,-208,16312,-2260,-74,-38,-6
1879.667,306,-208,16312,-2260,-74,-38,-6
1884.9309999999998,306,-208,16312,-2260,-74,-38,-6
1888.2939999999999,305,-208,16312,-2260,-74,-38,-6
1888.2939999999999,305,-208,16312,-2260,-74,-38,-6
1893.1290000000001,305,-208,16312,-2260,-74,-38,-6
1893.1290000000001,305,-192,16372,-2264,29,-27,-6
1899.988,307,-192,16372,-2264,29,-27,-6
1901.5610000000001,306,-192,16372,-2264,29,-27,-6
1901.5610000000001,306,-192,16372,-2264,29,-27,-6
1901.5610000000001,306,-192,16372,-2264,29,-27,-6
1910.028,306,-192,16372,-2264,29,-27,-6
1910.028,306,-192,16372,-2264,29,-27,-6
1915.433,306,-192,16372,-2264,29,-27,-6
1919.992,306,-236,16284,-2292,-101,-45,-8
1921.67,307,-236,16284,-2292,-101,-45,-8
1924.952,307,-236,16284,-2292,-101,-45,-8
1926.6589999999999,306,-236,16284,-2292,-101,-45,-8
1931.0700000000002,305,-236,16284,-2292,-101,-45,-8
1934.231,305,-236,16284,-2292,-101,-45,-8
1936.249,306,-236,16284,-2292,-101,-45,-8
1938.066,306,-176,16356,-2260,-39,-32,-1
1942.626,307,-176,16356,-2260,-39,-32,-1
1942.626,307,-176,16356,-2260,-39,-32,-1
1946.6490000000001,306,-176,16356,-2260,-39,-32,-1
1951.7640000000001,306,-176,16356,-2260,-39,-32,-1
1952.6950000000002,306,-176,16356,-2260,-39,-32,-1
1955.813,306,-176,16356,-2260,-39,-32,-1
1959.411,306,-208,16340,-2216,-30,-26,-4
1963.5240000000001,307,-208,16340,-2216,-30,-26,-4
1965.769,307,-208,16340,-2216,-30,-26,-4
1968.3690000000001,306,-208,16340,-2216,-30,-26,-4
1969.9279999999999,306,-208,16340,-2216,-30,-26,-4
1969.9279999999999,306,-208,16340,-2216,-30,-26,-4
1976.079,306,-208,16340,-2216,-30,-26,-4
1979.955,306,-188,16332,-2304,-57,-35,-12
1979.955,306,-188,16332,-2304,-57,-35,-12
1983.744,306,-188,16332,-2304,-57,-35,-12
1985.5620000000001,306,-188,16332,-2304,-57,-35,-12
1991.756,306,-188,16332,-2304,-57,-35,-12
1993.072,306,-188,16332,-2304,-57,-35,-12
1993.072,306,-188,16332,-2304,-57,-35,-12
2000.1090000000002,307,-188,16328,-2272,-23,-28,-3
2000.1090000000002,307,-188,16328,-2272,-23,-28,-3
2000.1090000000002,307,-188,16328,-2272,-23,-28,-3
2008.321,306,-188,16328,-2272,-23,-28,-3
2008.321,306,-188,16328,-2272,-23,-28,-3
2008.321,306,-188,16328,-2272,-23,-28,-3
2017.2500000000002,306,-188,16328,-2272,-23,-28,-3
2018.4899999999998,307,-204,16336,-2272,-23,-25,-7
2018.4899999999998,307,-204,16336,-2272,-23,-25,-7
2024.534,307,-204,16336,-2272,-23,-25,-7
2024.534,307,-204,16336,-2272,-23,-25,-7
2024.534,306,-204,16336,-2272,-23,-25,-7
2033.22,306,-204,16336,-2272,-23,-25,-7
2033.22,306,-204,16336,-2272,-23,-25,-7
2033.22,307,-236,16348,-2244,-73,-60,-20
2041.194,307,-236,16348,-2244,-73,-60,-20
2045.2180000000003,307,-236,16348,-2244,-73,-60,-20
2049.736,307,-236,16348,-2244,-73,-60,-20
2049.736,306,-236,16348,-2244,-73,-60,-20
2049.736,306,-236,16348,-2244,-73,-60,-20
2057.782,307,-236,16348,-2244,-73,-60,-20
2059.38,308,-196,16304,-2252,-18,-38,-13
2059.38,307,-196,16304,-2252,-18,-38,-13
2065.9390000000003,307,-196,16304,-2252,-18,-38,-13
2067.955,307,-196,16304,-2252,-18,-38,-13
2067.955,306,-196,16304,-2252,-18,-38,-13
2074.118,307,-196,16304,-2252,-18,-38,-13
2074.118,307,-180,16328,-2272,5,-45,-9
2074.118,308,-180,16328,-2272,5,-45,-9
2082.4790000000003,307,-180,16328,-2272,5,-45,-9
2084.497,307,-180,16328,-2272,5,-45,-9
2084.497,308,-180,16328,-2272,5,-45,-9
