Time (ms),EMG Value
1464.187,38
1466.1789999999999,38
1467.1799999999998,38
1470.6680000000001,38
1471.6670000000001,37
1472.69,37
1474.1200000000001,37
1476.6280000000002,37
1478.624,37
1479.621,37
1481.733,37
1483.831,38
1486.034,37
1487.061,39
1489.063,39
1490.0880000000002,39
1491.988,38
1493.9830000000002,38
1496.0059999999999,38
1496.98,38
1499.164,36
1501.1200000000001,37
1502.587,36
1504.745,37
1506.0819999999999,37
1507.34,35
1509.134,37
1511.117,39
1511.645,39
1512.676,38
1514.67,38
1515.696,38
1517.1,36
1518.8680000000002,36
1519.904,36
1520.912,36
1522.562,36
1524.229,36
1525.8039999999999,35
1527.354,37
1528.372,37
1530.353,39
1531.758,39
1533.788,38
1534.7930000000001,38
1536.791,38
1537.787,38
1539.788,36
1540.7869999999998,36
1542.7949999999998,36
1544.046,36
1545.08,36
1547.095,36
1548.119,37
1550.182,37
1552.121,39
1553.1200000000001,39
1554.12,38
1556.124,38
1557.1219999999998,38
1559.124,38
1561.205,38
1563.5410000000002,36
1564.5169999999998,36
1565.519,36
1566.526,36
1568.545,36
1569.543,35
1570.534,35
1571.5339999999999,37
1573.572,39
1575.521,38
1577.518,38
1578.521,38
1580.5720000000001,38
1581.539,38
1582.5549999999998,38
1584.571,37
1585.5729999999999,37
1586.5249999999999,37
1588.573,37
1589.572,36
1590.5720000000001,37
1592.5439999999999,38
1595.082,38
1596.128,39
1597.299,39
1597.859,38
1599.6019999999999,38
1600.645,38
1601.9479999999999,38
1603.1409999999998,37
1605.511,37
1605.511,37
1607.085,36
1610.778,36
1611.7649999999999,37
1612.763,37
1614.83,37
1614.83,39
1616.849,39
1617.8809999999999,39
1619.9289999999999,39
1620.9260000000002,38
1621.872,38
1622.873,38
1624.873,38
1627.123,38
1628.1680000000001,37
1630.055,37
1631.097,36
1633.132,36
1634.136,37
1635.0849999999998,37
1637.078,37
1637.587,39
1638.7350000000001,39
1641.338,38
1642.922,38
1644.369,38
1645.404,38
1646.396,38
1648.592,37
1649.6329999999998,37
1650.6309999999999,37
1651.585,37
1652.574,37
1654.633,37
1655.587,38
1656.576,39
1658.877,39
1659.882,39
1661.103,38
1662.131,38
1663.1419999999998,38
1665.127,38
1666.125,38
1667.309,36
1668.3319999999999,37
1671.126,37
1672.51,36
1673.029,36
1674.126,37
1676.336,37
1677.3709999999999,37
1678.359,39
1680.359,39
1681.36,39
1683.3629999999998,39
1684.69,38
1685.716,38
1686.955,38
1688.978,38
1689.9789999999998,38
1690.8909999999998,36
1692.9650000000001,37
1694.003,37
1695.016,37
1697.042,37
1698.0420000000001,37
1699.047,37
1700.002,37
1702.277,39
1703.358,39
1704.314,38
1706.302,38
1707.535,38
1708.064,38
1710.858,38
1711.88,37
1713.4799999999998,37
1714.502,37
1716.5040000000001,36
1717.875,37
1717.875,37
1719.371,37
1720.739,39
1722.412,39
1723.435,39
1725.652,39
1727.649,38
1728.697,38
1729.6450000000002,38
1731.712,38
1732.6589999999999,37
1733.6560000000002,37
1734.704,37
1736.135,36
1737.2849999999999,36
1738.557,35
1739.979,35
1742.366,37
1744.412,39
1745.452,39
1746.3990000000001,38
1749.0110000000002,38
1750.007,38
1751.501,38
1752.58,38
1753.671,38
1754.6029999999998,36
1755.608,37
1757.605,36
1758.606,37
1761.097,36
1761.963,36
1763.043,35
1765.0459999999998,37
1766.04,37
1767.048,37
1767.984,39
1770.041,38
1770.9850000000001,38
1771.9940000000001,38
1772.9859999999999,38
1775.259,38
1777.419,38
1777.419,37
1780.145,37
1781.758,37
1782.9759999999999,37
1784.6299999999999,37
1785.63,37
1786.6290000000001,37
1787.585,37
1789.63,38
1790.6299999999999,39
1791.591,38
1792.5819999999999,38
1794.575,38
1795.769,38
1796.824,38
1798.683,37
1799.69,37
1800.713,36
1802.714,36
1803.8670000000002,37
1804.89,37
1804.89,37
1807.528,35
1809.746,37
1811.774,39
1813.061,39
1814.1290000000001,38
1814.349,38
1816.65,38
1816.785,38
1817.9160000000002,36
1819.7810000000002,36
1820.489,36
1821.5159999999998,36
1823.297,36
1824.4640000000002,36
1826.7279999999998,36
1828.848,35
1829.048,37
1830.23,37
1832.391,37
1833.5600000000002,39
1834.7720000000002,38
1835.899,38
1837.075,38
1838.156,38
1839.328,38
1840.365,37
1843.999,37
1845.439,37
1846.473,37
1847.545,36
1849.6809999999998,36
1849.6809999999998,36
1851.164,37
1853.5980000000002,38
1854.677,39
1855.206,39
1857.373,38
1858.75,38
1859.801,38
1861.213,38
1862.4650000000001,38
1864.808,36
1865.885,36
1866.442,36
1867.69,36
1868.814,36
1870.069,35
1871.4660000000001,35
1873.781,38
1875.018,38
1877.448,38
1878.482,38
1879.5420000000001,38
1880.635,38
1882.659,38
1883.28,37
1885.308,36
1886.306,36
1887.7379999999998,36
1888.772,36
1890.82,35
1891.767,35
1893.7679999999998,37
1894.784,37
1896.76,39
