Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
4,306,224,254,422,13096,-9224,2236,-210,226,-122
1555.504,306,229,252,423,13080,-9216,2228,-233,210,-141
1567.181,306,240,255,419,13168,-9240,2236,-212,219,-126
1567.181,307,251,256,417,13136,-9256,2192,-193,231,-136
1567.181,308,256,253,420,13148,-9324,2148,-155,238,-122
1577.723,309,261,252,422,13152,-9260,2172,-113,187,-143
1577.723,307,272,255,418,13180,-9312,2216,-98,152,-170
1588.819,307,282,257,417,13128,-9340,2208,-78,151,-179
1588.819,308,286,257,420,13084,-9320,2204,-52,122,-198
1600.076,308,290,257,423,13116,-9316,2220,-71,115,-182
1605.367,307,300,262,420,13096,-9304,2212,-69,126,-177
1611.1580000000001,306,309,265,420,13112,-9348,2160,-126,116,-169
1611.1580000000001,307,311,265,425,13096,-9388,2200,-151,129,-161
1611.1580000000001,306,314,265,427,13096,-9348,2160,-177,158,-163
1622.214,305,322,271,426,13068,-9348,2132,-203,158,-159
1633.286,304,328,273,425,13076,-9328,2188,-221,184,-159
1633.286,304,329,273,430,13068,-9336,2180,-216,166,-150
1633.286,305,330,274,433,13048,-9352,2172,-212,169,-120
1644.5559999999998,305,337,279,431,13096,-9356,2204,-196,173,-117
1644.5559999999998,304,342,282,432,13052,-9404,2140,-155,173,-100
1655.499,306,342,282,437,13044,-9420,2168,-104,153,-89
1655.499,305,342,283,441,13004,-9560,2168,-80,174,-67
1666.3120000000001,303,348,289,439,13004,-9632,2188,-33,163,-63
1667.185,303,353,293,440,13132,-9788,2232,-58,204,-46
1677.638,304,352,295,445,13192,-9856,2360,-64,295,20
1677.638,304,351,297,447,13272,-10076,2352,-148,318,123
1677.638,304,356,303,445,13300,-10180,2300,-237,312,210
1688.764,303,359,307,445,13368,-10292,2348,-278,319,312
1688.764,304,357,309,448,13432,-10444,2384,-324,335,473
1699.864,304,356,310,450,13496,-10760,2460,-334,454,705
1699.864,302,360,316,446,13572,-11208,2344,-483,486,1010
1711.158,302,363,320,445,13644,-11564,2188,-648,475,1294
1711.158,303,359,319,448,13832,-11840,2136,-677,472,1538
1722.27,304,356,318,448,13948,-12008,2156,-671,468,1721
1722.27,303,359,322,443,13972,-12080,2304,-630,535,1965
1722.27,302,361,323,441,13960,-12192,2404,-677,551,2263
1733.375,304,357,320,443,14024,-12380,2480,-800,643,2706
1733.375,306,354,319,442,14008,-12528,2564,-921,734,3193
1744.4599999999998,305,357,323,436,13996,-12704,2832,-1086,936,3636
1744.4599999999998,305,358,324,432,13912,-12980,2936,-1184,1247,3979
1755.592,307,354,322,432,13892,-13252,3060,-1355,1595,4221
1755.592,307,351,321,427,13788,-13412,3140,-1531,1782,4388
1767.247,306,355,324,416,13768,-13516,3248,-1692,1925,4657
1767.247,306,355,326,410,13708,-13640,3392,-1736,2124,4973
1767.247,307,350,327,406,13704,-13912,3512,-1768,2453,5462
1777.8400000000001,306,344,331,400,13680,-14392,3424,-1754,2700,6019
1788.8980000000001,305,346,341,389,13668,-14792,3472,-1849,3049,6608
1788.8980000000001,305,344,352,381,13708,-15172,3700,-1621,3530,7035
1788.8980000000001,305,337,362,376,13712,-15756,3720,-1337,4056,7404
1801.0900000000001,303,330,375,368,13572,-16348,3636,-1061,4342,7775
1804.716,298,330,391,354,13492,-16856,3772,-575,4682,8082
1811.047,293,326,404,345,13568,-17444,3496,-89,4970,8491
1811.047,290,317,414,338,13580,-18012,2988,632,5095,9004
1821.852,284,309,423,329,13968,-18124,3016,1511,5246,9255
1822.256,278,307,435,313,14200,-18048,2980,2379,5436,9331
1833.2900000000002,274,304,443,303,14336,-17756,2952,3663,5283,9501
1833.2900000000002,274,294,449,294,14352,-17464,3368,4933,5362,9882
1833.2900000000002,274,282,455,283,14432,-17468,3364,5914,5375,10385
1844.306,273,274,465,266,14668,-17168,3828,6643,5405,11007
1844.306,279,265,472,253,14792,-17012,4012,7258,5411,11688
1855.633,290,254,477,243,14836,-16772,4168,7699,5434,12367
1855.633,300,245,483,230,14772,-16636,4004,8117,5345,12991
1866.7530000000002,303,236,491,213,14768,-16460,3848,8359,5252,13498
1867.258,299,213,493,207,14856,-16060,3740,8800,5062,14088
1878.44,291,177,490,211,14736,-15840,3760,9397,4932,14841
1878.44,278,132,484,219,14728,-15984,3972,9732,5007,15688
1878.44,260,83,477,226,14684,-16080,4244,10057,5315,16635
1889.164,245,20,461,237,14600,-16496,4120,10188,5633,17527
1899.634,241,14,442,249,14440,-16884,4012,10292,5765,18277
1900.489,257,14,429,254,14348,-16820,4200,10347,5745,18619
1900.489,293,13,421,250,14312,-16796,4236,10661,5743,18856
1911.751,330,13,410,250,14116,-16596,4684,10942,5792,19169
1913.7759999999998,356,13,398,242,13776,-16336,4696,10794,5854,19353
1923.882,375,14,387,234,13708,-16016,5168,10543,6172,19585
1927.883,393,13,382,227,13508,-15580,5440,10235,6541,19855
1932.8829999999998,410,14,375,231,13292,-15256,5636,9816,6707,20140
1936.152,434,14,364,245,13000,-15012,5836,9376,6715,20573
1944.106,463,14,357,261,12520,-14724,5888,8804,6698,20882
1944.106,487,13,352,277,12016,-14324,5820,8078,6782,20995
1944.106,504,13,346,302,11628,-13976,5884,7425,6857,20940
1944.106,516,14,339,335,11296,-13636,6108,6960,7233,20920
1959.735,519,13,335,367,11012,-13436,5976,6494,7383,21048
1967.244,514,13,337,398,10644,-13348,5544,6112,7378,21356
1967.244,498,14,340,437,10244,-13088,5560,5995,7300,21650
1967.244,475,24,347,480,9820,-12724,5688,6197,7078,21847
1967.244,451,53,361,519,9436,-12436,6172,6619,7259,21944
1982.875,426,98,385,553,9300,-13028,5380,7067,7219,22103
1982.875,404,150,408,591,8924,-13124,5852,6854,7271,22248
1982.875,384,204,432,631,8504,-12704,5032,6906,7672,22094
1998.501,365,278,459,666,8748,-13016,5916,7976,7888,22826
1998.501,342,387,488,695,7760,-13556,7192,6993,7907,21295
2014.128,320,512,512,729,7768,-13716,6600,5303,8325,21183
2014.128,296,643,531,765,7484,-13184,6480,5172,8075,21361
2014.128,271,801,548,800,7256,-12828,6260,4881,8354,21422
2014.128,244,961,563,838,6948,-12424,5664,4737,8220,21118
2029.753,223,1014,569,887,6756,-12452,5004,4558,8147,20783
2029.753,205,1014,569,944,6420,-11972,5344,5203,7485,20806
2029.753,187,1015,568,1002,6144,-11904,5228,4649,7788,20675
2045.3790000000001,171,1014,564,1019,5756,-11856,5212,4098,8011,20645
2045.3790000000001,157,1014,552,1019,5484,-11124,5528,4364,7498,20411
2059.332,147,1014,531,1019,4760,-10596,5536,4095,6946,19568
2063.306,140,1014,508,1019,4376,-10004,5688,3401,6670,18997
2067.532,133,1014,485,1019,4396,-9548,5580,4208,6631,18896
2067.532,129,1014,459,1019,3756,-9988,5232,3781,6924,18681
2067.532,128,1014,431,1019,3540,-10268,4780,3643,6780,18549
2083.16,128,1014,407,1019,3124,-10416,4740,3938,5986,18288
2083.16,124,1014,385,1019,2492,-10532,3872,3674,5782,17659
2083.16,121,1015,362,1019,3188,-10780,3728,3767,5732,17330
2098.786,124,1014,334,1019,2152,-10268,3780,3953,5376,16874
2098.786,127,1015,306,1019,1664,-10576,3884,4717,4852,16289
2098.786,127,1014,280,1019,1664,-10028,3964,4804,4127,15774
2098.786,132,1014,254,1019,1924,-10048,3992,4704,3865,15077
2114.413,143,1015,230,1019,1380,-9328,3852,4967,3389,14625
2114.413,151,1014,209,1019,1140,-8596,3640,5370,2853,14731
2114.413,156,1014,191,1018,600,-8136,4020,5463,2419,14158
2130.039,158,1014,168,1019,476,-8120,4020,5498,2108,13678
2130.039,159,1014,146,1019,404,-7852,4484,5460,2221,12943
2130.039,161,1014,126,1019,248,-8460,3816,5489,1855,12705
2145.664,160,1014,111,1019,224,-7540,5200,5651,2219,11531
2145.664,159,1015,94,1019,116,-9088,4572,5777,1876,11384
2145.664,155,1014,78,1019,248,-9084,4652,5314,1471,11107
2161.2909999999997,148,1014,70,1019,-76,-8700,4780,5048,980,10637
2167.7960000000003,143,1014,69,1019,-112,-8220,5008,5017,584,10006
2167.7960000000003,146,1014,71,1019,-208,-8164,5232,5016,415,9450
2167.7960000000003,156,1014,78,1019,-616,-7944,5836,4587,266,8745
2167.7960000000003,167,1014,91,1018,-508,-8996,5372,3645,669,8546
2183.423,179,1014,108,1017,-756,-8576,6028,3519,604,8445
2183.423,191,1014,122,1014,-896,-9772,5528,3165,571,8167
2183.423,202,1015,134,1007,-816,-8936,6416,2430,681,7520
2199.05,209,1014,148,988,-752,-10196,5892,1843,121,7802
2199.05,215,1014,163,963,-788,-10076,6104,1411,253,7103
2214.687,225,1014,172,938,-792,-9884,6436,1441,184,6698
2214.687,235,1014,181,912,-708,-10584,6400,1226,6,6706
2214.687,242,1014,192,878,-948,-10512,6960,1119,205,6135
2214.687,250,1014,204,837,-788,-11148,6756,727,90,5920
2230.302,259,1014,210,798,-920,-10772,7124,393,8,5541
2230.302,267,1014,214,757,-984,-10112,7720,296,133,4918
2230.302,274,1014,216,708,-924,-10648,7368,211,51,4761
2245.9280000000003,282,1014,218,652,-1048,-10896,7080,-144,52,4482
2245.9280000000003,292,1014,213,598,-1112,-9808,7876,-579,-56,3991
2245.9280000000003,300,1015,207,546,-1072,-10096,7436,-835,-178,3745
2261.5539999999996,305,1014,205,489,-1304,-8932,8048,-881,-280,3228
2268.058,306,1014,205,430,-1144,-9408,7760,-1564,-533,3019
2268.058,307,1014,199,375,-1452,-8736,7756,-1733,-539,2480
2268.058,308,1014,192,318,-1348,-9340,7512,-1473,-505,2353
2283.6859999999997,308,1014,185,254,-1076,-9244,7672,-1475,-608,2384
2283.6859999999997,306,1014,180,187,-1032,-9884,7936,-1340,-523,2275
2283.6859999999997,309,1003,170,126,-872,-10464,8228,-1488,-475,2143
2299.314,315,979,159,67,-728,-10888,8276,-1574,-377,1937
2299.314,321,955,154,9,-664,-11392,8596,-1513,-271,1603
2299.314,328,931,154,0,-480,-11852,9048,-1561,-113,1335
2299.314,341,892,156,0,-496,-12104,9228,-1469,-89,1129
2317.1490000000003,353,847,161,0,-564,-12384,9344,-1241,60,943
2319.411,362,804,172,0,-664,-12508,9632,-1025,197,650
2319.411,367,765,187,0,-560,-12464,9948,-884,264,334
2319.411,371,717,200,0,-716,-12380,9596,-866,176,139
2335.039,369,667,213,0,-476,-11960,9900,-516,588,-262
2335.039,366,626,228,0,-380,-11640,10052,-313,823,-746
2335.039,364,593,243,0,-368,-11220,10416,-662,760,-1229
2350.665,364,555,252,0,-60,-10336,10952,-1270,921,-1641
2350.665,366,518,260,0,584,-10360,10688,-1935,1222,-1694
2350.665,365,489,270,0,1064,-11092,10360,-3169,1628,-1564
2368.2949999999996,363,466,280,0,1084,-12436,9764,-3918,1809,-1156
2368.2949999999996,362,434,285,0,960,-13864,9496,-4226,1997,-786
2368.2949999999996,358,400,289,0,716,-14964,9392,-4523,2304,-560
2368.2949999999996,351,371,294,0,924,-16004,8904,-3965,2284,-293
2383.922,341,343,301,0,852,-16268,9216,-3422,2367,-402
2383.922,327,306,304,0,1048,-16108,9472,-2597,2300,-590
2383.922,312,265,309,0,1064,-15752,9780,-2070,2279,-861
2399.548,294,229,319,0,1048,-15056,10012,-1863,2415,-1134
2399.548,280,195,331,0,928,-14456,9752,-1534,2537,-1369
2415.1760000000004,270,153,340,0,1092,-14232,9548,-1634,2756,-1530
2415.1760000000004,263,108,348,0,1104,-14032,9176,-1796,2732,-1617
2415.1760000000004,257,68,359,0,860,-13712,8840,-1844,2742,-1756
2415.1760000000004,254,29,370,0,784,-13632,8532,-1953,2833,-1855
2430.8010000000004,255,14,376,4,660,-13560,8484,-1988,2870,-1887
2430.8010000000004,258,14,380,12,484,-13852,8084,-2201,2958,-1813
2430.8010000000004,258,14,387,15,400,-14368,8196,-2379,2931,-1662
2446.4269999999997,259,13,393,17,496,-14640,7332,-1906,3086,-1666
2446.4269999999997,267,14,396,26,508,-15136,7852,-2525,3035,-1497
2446.4269999999997,276,13,398,34,568,-14660,6912,-2404,2912,-1565
2462.054,283,14,401,37,372,-14740,6152,-1437,2757,-1800
2468.5730000000003,291,14,404,37,356,-14960,6244,-445,2551,-1947
2470.5840000000003,301,13,400,43,428,-14652,6456,198,2340,-2179
2470.5840000000003,312,14,393,46,676,-14220,6724,642,2225,-2377
2478.6890000000003,319,13,386,44,800,-14300,7012,730,2101,-2451
2488.708,326,14,376,40,924,-14300,7560,546,2156,-2356
2490.721,336,14,362,39,964,-14684,7588,282,2177,-2052
2490.721,347,13,344,37,856,-15264,7192,-89,2224,-1811
2500.7999999999997,356,14,328,29,944,-15796,7048,-16,2206,-1618
2508.819,366,14,312,19,860,-15980,7032,-74,2069,-1461
2510.835,376,13,290,12,852,-15764,6880,18,1827,-1458
2510.835,384,14,264,0,872,-15332,7180,325,1757,-1562
2520.902,386,14,241,0,776,-15004,7544,531,1801,-1656
2528.921,387,14,219,0,672,-14632,7780,1059,1864,-1635
2528.921,388,14,195,0,876,-14504,7988,1422,2178,-1710
2528.921,391,13,170,0,728,-13768,8700,1241,1695,-2111
2540.972,389,13,149,0,548,-12632,8772,1281,1646,-2446
2548.9950000000003,387,14,129,0,780,-12480,8860,1642,2283,-2450
2548.9950000000003,388,14,107,0,1084,-13040,8828,1282,2659,-2407
2558.998,387,13,87,0,728,-13028,8460,612,2599,-2704
2558.998,385,13,71,0,632,-13064,7912,675,2813,-2859
2558.998,385,13,55,0,932,-13276,7724,1173,2989,-2880
2574.629,388,14,37,0,1432,-13520,8052,1573,3161,-2885
